window_start,window_end,lookahead_start,lookahead_end,churned,contract_start_date,contract_id,merchant_name,web_access_enabled,api_access_enabled,csv_export_enabled,renewals_in_lookahead,user_count,metric_bundle_count,mfa_enabled,api_calls_per_month,logins_in_window,renewal_revenue_in_window,new_business_revenue_in_window,upsell_revenue_in_window,contract_age,AvgUniqueUsers,SessionCount,PageviewCount,SavedReportCount,CompareGroupCount,supportTicketCount,PageviewSlope,SessionSlope,ScheduledReportSlope,SavedReportSlope,CompareGroupSlope,minTicketSentiment,maxTicketOpenTime,avgTicketSentiment
2017-12-31,2018-06-30,2018-06-30,2018-09-30,0.0,2012-08-01,CNT000446,Merchant 000446,True,True,True,0,319492,418,1,2736132,0,0.00,0.00,0.00,2159,987.7652,86510.9748,2661470.2,179.7073,852.4886,0.0,33227.647,-494.1054,44.5615,135.2432,434.6825,,,
2017-11-30,2018-05-30,2018-05-30,2018-08-30,0.0,2016-12-31,CNT000752,Merchant 000752,True,True,True,0,455,351,1,0,15,522817.49,0.00,310834.48,515,77.3325,827.6794,22698.9867,0.0,51.4346,0.0,-1138.7868,64.2368,0.0,0.0,50.0261,,,
2018-06-30,2018-12-30,2018-12-30,2019-03-30,0.0,2017-09-01,CNT000184,Merchant 000184,True,True,True,0,4819,446,1,1858778,18,300386.34,0.00,122340.31,485,168.5801,2076.5107,29078.5962,0.0,0.0,0.0,-2008.9461,-310.4102,0.0,0.0,0.0,,,
2018-02-28,2018-08-28,2018-08-28,2018-11-28,0.0,2014-02-01,CNT000452,Merchant 000452,True,False,True,1,2011,508,1,0,0,0.00,0.00,0.00,1669,3921.5514,43690.7699,879512.2298,0.0,797.9769,0.0,-107953.741,1739.1733,0.0,0.0,707.2353,,,
2018-02-28,2018-08-28,2018-08-28,2018-11-28,0.0,2016-06-01,CNT000748,Merchant 000748,True,True,True,0,1995,669,1,2911104,19,723078.29,0.00,271578.58,818,1243.6406,6110.1663,127957.0596,0.0,606.1229,19.856,1086.3959,208.9995,0.0,0.0,462.8972,0.967,92.0,0.967
2018-04-30,2018-10-30,2018-10-30,2019-01-30,0.0,2013-02-01,CNT000413,Merchant 000413,True,False,True,0,1587,312,1,2930676,0,0.00,0.00,0.00,2097,1795.2353,23369.8284,335332.4062,28.6593,406.576,0.0,-33162.3406,-913.1598,27.953,33.5885,382.8334,,,
2017-12-31,2018-06-30,2018-06-30,2018-09-30,0.0,2016-09-01,CNT000846,Merchant 000846,True,False,True,1,4995,444,1,0,0,0.00,0.00,0.00,667,147.2681,899.0907,32732.4448,0.0,53.962,0.0,7495.6035,89.9534,0.0,0.0,49.289,,,
2018-09-30,2019-03-30,2019-03-30,2019-06-30,0.0,2018-07-02,CNT000947,Merchant 000947,True,True,True,0,798,272,1,0,0,0.00,0.00,0.00,271,357.1733,14660.1755,96102.9894,121.7863,486.8044,63.2138,-6124.2094,1087.861,54.4364,102.5368,242.6454,0.34,20.0,0.604925
2019-01-31,2019-07-31,2019-07-31,2019-10-31,0.0,2017-04-01,CNT000138,Merchant 000138,True,True,True,0,298396,478,1,14547474,0,0.00,0.00,0.00,851,988.5626,11188.005,170999.3676,0.0,151.9203,0.0,12008.6657,-311.802,0.0,0.0,133.476,,,
2018-05-31,2018-11-30,2018-11-30,2019-02-28,1.0,2017-12-31,CNT000883,Merchant 000883,True,True,True,1,293057,483,1,0,0,0.00,0.00,0.00,334,340.988,1053.6327,17074.993,0.0,212.0318,0.0,1821.9651,182.1984,0.0,0.0,198.1836,,,
2018-12-31,2019-06-30,2019-06-30,2019-09-30,0.0,2012-09-01,CNT000418,Merchant 000418,True,True,True,1,338498,694,1,857808,0,0.00,0.00,0.00,2493,4922.9466,32380.1899,462423.4668,202.9119,1587.7907,19.3357,101012.4171,2229.9787,0.0,151.1558,1387.0948,0.8588,7.0,0.8588
2018-10-31,2019-04-30,2019-04-30,2019-07-30,0.0,2014-12-31,CNT000716,Merchant 000716,True,True,True,0,825,158,1,0,15,933784.99,0.00,0.00,1581,23.0718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-03-31,2018-09-30,2018-09-30,2018-12-30,0.0,2012-05-01,CNT000395,Merchant 000395,True,True,True,0,2548,453,1,572349393,0,0.00,0.00,0.00,2343,1245.9876,23532.2963,596053.5195,141.7116,3570.6438,280.0211,-69490.5816,-192.0119,17.2482,103.8599,2663.4823,0.6966,134.0,0.9164677083333332
2019-01-31,2019-07-31,2019-07-31,2019-10-31,0.0,2017-05-15,CNT000743,Merchant 000743,True,False,True,0,1801,391,1,0,0,0.00,0.00,0.00,807,454.6309,5206.433,83923.8489,30.1772,164.9049,0.0,-1890.9249,-400.0318,0.0,32.8047,159.4883,,,
2019-01-31,2019-07-31,2019-07-31,2019-10-31,0.0,2014-12-31,CNT000716,Merchant 000716,True,True,True,0,1008,137,1,0,0,0.00,0.00,0.00,1673,22.6221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-31,2018-11-30,2018-11-30,2019-02-28,0.0,2013-12-01,CNT000618,Merchant 000618,True,False,True,0,3193,438,1,0,0,0.00,0.00,0.00,1825,157.9558,108.8277,766.4392,0.0,0.0,0.0,-311.7455,-54.0069,0.0,0.0,0.0,,,
2018-02-28,2018-08-28,2018-08-28,2018-11-28,0.0,2018-02-05,CNT000127,Merchant 000127,True,False,True,0,886,321,1,0,0,0.00,0.00,0.00,204,135.0292,3731.3813,88576.1752,18.6328,49.6532,0.0,-201.8948,-455.1599,0.0,20.343,27.6244,,,
2019-05-31,2019-11-30,2019-11-30,2020-02-29,0.0,2018-06-15,CNT000080,Merchant 000080,True,True,True,0,559,339,1,0,0,0.00,0.00,0.00,533,90.7555,5334.3819,79247.4226,656.2793,228.6186,20.5051,12616.1674,880.5714,0.0,642.1268,194.3143,0.7826,1.0,0.7826
2018-04-30,2018-10-30,2018-10-30,2019-01-30,0.0,2018-03-01,CNT000250,Merchant 000250,True,False,True,0,664,406,1,0,0,0.00,0.00,0.00,243,232.4384,21363.1467,122163.8219,228.4081,1116.8042,0.0,-786.1238,3647.7521,166.9883,164.8928,903.6867,,,
2018-02-28,2018-08-28,2018-08-28,2018-11-28,0.0,2017-12-26,CNT000229,Merchant 000229,True,False,False,0,662,385,1,0,0,0.00,0.00,0.00,245,96.2296,3649.5143,29921.0571,0.0,44.219,0.0,2640.4655,-79.9297,0.0,0.0,49.3277,,,
2019-04-30,2019-10-30,2019-10-30,2020-01-30,0.0,2016-12-30,CNT000096,Merchant 000096,True,True,True,1,270750,195,1,128800645,0,0.00,0.00,0.00,1034,71.7492,375.6403,619.1111,0.0,0.0,0.0,60.5101,28.1346,0.0,0.0,0.0,,,
2018-01-31,2018-07-31,2018-07-31,2018-10-31,0.0,2014-02-01,CNT000452,Merchant 000452,True,False,True,1,2614,467,1,0,0,0.00,0.00,0.00,1641,3049.6242,44749.1947,1036538.5,0.0,808.6519,0.0,18677.1581,1187.2483,0.0,0.0,780.4021,,,
2019-05-31,2019-11-30,2019-11-30,2020-02-29,0.0,2017-06-30,CNT000474,Merchant 000474,True,False,True,0,771,409,1,0,16,1899935.95,0.00,0.00,883,360.3085,866.0725,7442.7111,0.0,23.2477,61.6539,477.0297,-26.2811,0.0,0.0,26.6983,0.8011,3.0,0.8968666666666668
2019-05-31,2019-11-30,2019-11-30,2020-02-29,0.0,2016-09-20,CNT000634,Merchant 000634,True,True,True,0,836,477,1,8937566,34,1722550.40,0.00,745123.61,1166,474.7379,11289.6276,265565.6141,31.2898,2226.6643,39.1286,-2713.8159,-682.2508,0.0,33.7566,1473.0194,0.8126,0.0,0.88425
2019-05-31,2019-11-30,2019-11-30,2020-02-29,0.0,2018-10-01,CNT000237,Merchant 000237,True,False,True,0,952,185,1,0,0,0.00,0.00,0.00,425,35.1922,0.0,0.0,0.0,26.662,0.0,0.0,0.0,0.0,0.0,24.9314,,,
2018-11-30,2019-05-30,2019-05-30,2019-08-30,0.0,2018-01-01,CNT000228,Merchant 000228,True,False,True,0,1933,344,1,0,19,380434.68,0.00,0.00,514,167.2349,181.0309,4390.4726,0.0,23.6147,0.0,22.6796,-12.7441,0.0,0.0,24.8202,,,
2018-04-30,2018-10-30,2018-10-30,2019-01-30,0.0,2014-12-01,CNT000500,Merchant 000500,True,True,True,0,6954,566,1,94861650,17,2537757.37,0.00,23.18,1429,4406.3511,158798.6957,2890458.9,47.4402,4838.0754,163.4239,47970.2996,17404.2835,0.0,56.6444,3910.8535,0.8357,27.0,0.9435533333333334
2019-04-30,2019-10-30,2019-10-30,2020-01-30,0.0,2018-06-30,CNT000912,Merchant 000912,True,True,True,0,297,396,1,0,0,0.00,0.00,0.00,487,118.3506,54.1307,1416.5778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-01-31,2018-07-31,2018-07-31,2018-10-31,0.0,2018-01-01,CNT000201,Merchant 000201,True,True,True,0,90,322,1,0,0,0.00,0.00,0.00,211,43.5374,2889.5892,54698.1118,50.6144,272.3873,0.0,10300.9977,439.984,88.5101,49.2355,254.4776,,,
2018-03-31,2018-09-30,2018-09-30,2018-12-30,1.0,2017-10-13,CNT000035,Merchant 000035,True,True,True,1,886,207,1,0,0,0.00,0.00,0.00,352,128.0706,1054.9486,19154.7294,0.0,101.1545,0.0,3047.3359,284.4801,0.0,0.0,102.4795,,,
2019-05-31,2019-11-30,2019-11-30,2020-02-29,0.0,2014-12-01,CNT000789,Merchant 000789,True,True,True,1,766,472,1,0,0,0.00,0.00,0.00,1825,2784.4229,38778.482,452946.9614,93.9358,1242.5753,0.0,13162.342,-724.329,0.0,106.0243,1442.0763,,,
2018-06-30,2018-12-30,2018-12-30,2019-03-30,0.0,2016-09-01,CNT000673,Merchant 000673,True,True,True,0,255549,413,1,5348567,0,0.00,0.00,0.00,850,1837.5493,14642.1788,247364.6196,20.8992,974.3996,38.7888,-94763.075,-4008.4116,34.0892,17.6204,603.1887,0.0,9.0,0.4979
2018-04-30,2018-10-30,2018-10-30,2019-01-30,0.0,2017-11-16,CNT000022,Merchant 000022,True,True,True,2,1711,382,1,0,17,0.00,0.00,0.00,348,151.3781,4163.6195,55125.1439,0.0,218.1944,0.0,12500.8001,1024.1737,0.0,0.0,190.8834,,,
2018-02-28,2018-08-28,2018-08-28,2018-11-28,1.0,2014-09-01,CNT000782,Merchant 000782,True,True,False,1,764,184,1,0,0,0.00,0.00,0.00,1457,85.5847,362.5226,6196.2809,0.0,0.0,0.0,-424.9498,-45.9617,0.0,0.0,0.0,,,
2018-02-28,2018-08-28,2018-08-28,2018-11-28,0.0,2017-04-01,CNT000120,Merchant 000120,True,True,True,0,318,242,1,0,18,944813.88,0.00,0.00,514,171.5345,646.7096,10117.6165,22.0282,159.7831,0.0,-1546.7224,-69.3426,0.0,20.9739,144.2337,,,
2019-04-30,2019-10-30,2019-10-30,2020-01-30,0.0,2018-11-01,CNT000997,Merchant 000997,True,False,True,1,1594,298,1,0,18,0.00,0.00,200101.50,363,808.526,10879.9014,145883.6214,0.0,418.7766,38.034,-20706.7761,-1457.9956,0.0,0.0,276.2876,0.2942,2.0,0.3018
2018-10-31,2019-04-30,2019-04-30,2019-07-30,0.0,2016-06-28,CNT001021,Merchant 001021,True,True,True,1,856,236,1,0,0,0.00,0.00,0.00,1036,1714.2398,34324.5381,547310.6312,53.0842,138.4117,0.0,-31307.4152,1028.0137,0.0,56.8604,107.6007,,,
2018-09-30,2019-03-30,2019-03-30,2019-06-30,0.0,2016-10-01,CNT000652,Merchant 000652,True,True,True,0,329480,397,1,0,19,2496204.85,0.00,103557.92,910,88.9733,1310.1795,45181.8778,9.2493,67.3359,18.3244,2007.4291,519.4573,0.0,10.2899,71.8346,0.9629,4.0,0.9629
2018-11-30,2019-05-30,2019-05-30,2019-08-30,0.0,2017-06-30,CNT000552,Merchant 000552,True,True,True,0,4134,767,1,0,0,0.00,0.00,0.00,699,1139.4512,8510.611,50904.6365,29.258,260.1076,65.4144,-3200.7132,-153.664,0.0,22.6635,242.2508,0.8156,87.0,0.8975666666666666
2018-12-31,2019-06-30,2019-06-30,2019-09-30,0.0,2018-09-03,CNT000067,Merchant 000067,True,True,True,0,822,505,1,0,0,0.00,0.00,0.00,300,388.386,8275.9226,65967.3752,20.0064,84.247,0.0,-1201.1855,-549.6819,0.0,18.2244,92.9032,,,
2019-04-30,2019-10-30,2019-10-30,2020-01-30,0.0,2018-12-01,CNT000460,Merchant 000460,True,True,True,0,513,719,1,0,0,0.00,0.00,0.00,333,145.9267,9033.1855,153301.7042,111.9561,481.103,0.0,2521.0732,329.424,84.6654,95.3752,460.8782,,,
2019-03-31,2019-09-30,2019-09-30,2019-12-30,0.0,2016-06-30,CNT000799,Merchant 000799,True,True,True,0,4462,271,1,4600070,0,0.00,0.00,0.00,1187,243.9896,2620.8372,52660.7777,8.5395,750.9394,17.7974,-13503.702,-428.8121,0.0,9.2893,581.3332,0.7959,3.0,0.7959
2019-02-28,2019-08-28,2019-08-28,2019-11-28,0.0,2017-03-01,CNT000109,Merchant 000109,True,True,True,0,267898,425,1,0,15,1434020.41,0.00,0.00,910,2254.6857,25649.6738,460941.7976,222.7988,3018.8356,0.0,-21964.0859,-1603.4767,15.7144,229.0375,2861.2394,,,
2019-01-31,2019-07-31,2019-07-31,2019-10-31,0.0,2019-01-01,CNT000156,Merchant 000156,True,True,True,0,4905,398,1,0,0,0.00,0.00,0.00,211,37.6051,1987.1795,39296.002,0.0,20.8311,0.0,-1991.1773,-202.8747,0.0,0.0,0.0,,,
2018-12-31,2019-06-30,2019-06-30,2019-09-30,0.0,2016-09-01,CNT000846,Merchant 000846,True,False,True,0,5064,471,1,0,0,0.00,0.00,0.00,1032,128.9902,1635.9815,34209.9478,0.0,187.5756,17.6452,2173.3493,268.5392,0.0,0.0,211.7569,0.9961,156.0,0.9961
2017-12-31,2018-06-30,2018-06-30,2018-09-30,0.0,2017-10-01,CNT001013,Merchant 001013,True,True,True,1,259974,276,1,0,0,0.00,0.00,0.00,272,734.7491,12588.1518,168190.5106,0.0,230.7274,0.0,6418.3549,940.8574,0.0,0.0,176.7912,,,
2018-11-30,2019-05-30,2019-05-30,2019-08-30,0.0,2016-10-01,CNT000032,Merchant 000032,True,False,True,0,157,159,1,0,15,557477.66,0.00,73013.19,971,22.3554,518.5156,5583.8177,0.0,0.0,0.0,314.013,79.634,0.0,0.0,0.0,,,
2019-04-30,2019-10-30,2019-10-30,2020-01-30,0.0,2018-10-01,CNT000105,Merchant 000105,True,True,True,0,321,574,1,652136951,0,0.00,0.00,0.00,394,56.5817,4731.8314,14642.8444,0.0,0.0,22.0922,-773.9674,42.3911,0.0,0.0,0.0,0.9211,97.0,0.9211
2019-05-31,2019-11-30,2019-11-30,2020-02-29,0.0,2017-06-01,CNT000908,Merchant 000908,True,False,True,0,4797,445,1,0,17,768212.37,0.00,0.00,912,294.4682,6820.1386,91892.6308,55.7896,948.4599,0.0,-12303.7783,114.6871,0.0,55.5802,1146.1154,,,
2018-02-28,2018-08-28,2018-08-28,2018-11-28,0.0,2014-05-01,CNT000469,Merchant 000469,True,True,True,0,888,241,1,821481,19,1074565.70,0.00,80673.59,1580,2604.5127,53890.2359,849053.835,0.0,923.2174,0.0,89322.6014,-1430.0252,0.0,0.0,860.1674,,,
2018-06-30,2018-12-30,2018-12-30,2019-03-30,0.0,2016-06-30,CNT000941,Merchant 000941,True,True,True,0,1933,262,1,0,16,844191.78,0.00,780267.58,913,607.4707,10729.3217,272781.1761,0.0,269.4577,0.0,15016.3986,-115.6631,0.0,0.0,264.5384,,,
2018-10-31,2019-04-30,2019-04-30,2019-07-30,0.0,2018-04-01,CNT000018,Merchant 000018,True,False,True,0,3873,636,1,0,0,0.00,0.00,0.00,394,593.6413,7066.7861,35110.5013,0.0,330.2757,41.8072,-45.5518,-1176.5189,0.0,0.0,262.7499,0.3612,43.0,0.6456000000000001
2019-04-30,2019-10-30,2019-10-30,2020-01-30,1.0,2017-11-01,CNT000851,Merchant 000851,True,True,True,1,282555,305,1,0,0,0.00,0.00,0.00,728,272.0363,466.4469,4894.1641,0.0,27.0688,0.0,603.3329,52.921,0.0,0.0,21.6033,,,
2018-07-31,2019-01-31,2019-01-31,2019-04-30,0.0,2012-09-01,CNT000412,Merchant 000412,True,True,True,0,280393,296,1,1423612326,0,0.00,0.00,0.00,2343,111696.5898,739975.2024,14277015.9,2551.7468,63379.9496,1622.7751,-839841.185,1135.7992,204.9357,1878.9551,67572.3451,-0.6169,83.0,0.7687007142857144
2018-03-31,2018-09-30,2018-09-30,2018-12-30,1.0,2016-09-30,CNT000669,Merchant 000669,True,True,True,1,334018,333,1,0,0,0.00,0.00,0.00,730,1108.9455,1845.6163,30036.2407,0.0,152.7312,0.0,-4728.8249,-227.9965,0.0,0.0,189.8742,,,
2018-02-28,2018-08-28,2018-08-28,2018-11-28,0.0,2015-12-01,CNT000553,Merchant 000553,True,True,True,0,297,400,1,0,0,0.00,0.00,0.00,1001,1111.5041,15098.6571,218729.5796,10.2241,290.3097,0.0,28906.0195,138.558,13.267,10.2383,300.3698,,,
2019-05-31,2019-11-30,2019-11-30,2020-02-29,0.0,2019-02-25,CNT000344,Merchant 000344,True,True,True,0,290,298,1,5745717,0,0.00,0.00,0.00,278,162.466,406.5723,3213.6738,0.0,73.4972,19.5015,2201.915,225.0795,0.0,0.0,67.5021,0.9954,14.0,0.9954
2019-05-31,2019-11-30,2019-11-30,2020-02-29,0.0,2016-06-21,CNT000643,Merchant 000643,True,True,True,0,3814,448,1,2552842,16,1469511.94,0.00,0.00,1257,1165.4292,4123.8257,65346.4492,0.0,126.8802,0.0,7014.7077,30.7727,0.0,0.0,141.7451,,,
2019-05-31,2019-11-30,2019-11-30,2020-02-29,0.0,2019-04-22,CNT000253,Merchant 000253,True,False,True,0,2033,382,1,0,17,0.00,0.00,511456.30,222,383.0436,7164.8187,117324.4691,31.718,492.51,0.0,21557.2126,1007.1299,0.0,25.8754,428.5111,,,
2018-01-31,2018-07-31,2018-07-31,2018-10-31,0.0,2017-03-01,CNT000666,Merchant 000666,True,True,True,0,1006,233,1,0,18,360053.85,0.00,130207.61,517,242.0723,6815.0347,217772.006,37.505,282.8879,0.0,19365.0271,267.1228,33.6908,34.8641,354.9615,,,
2019-04-30,2019-10-30,2019-10-30,2020-01-30,0.0,2017-04-28,CNT000144,Merchant 000144,True,False,True,0,1362,200,1,0,0,0.00,0.00,0.00,915,166.001,3863.4027,67155.8155,39.1242,640.0952,0.0,19201.9616,1290.1774,0.0,44.7787,612.4641,,,
2019-01-31,2019-07-31,2019-07-31,2019-10-31,0.0,2014-08-01,CNT000783,Merchant 000783,True,False,True,1,1741,485,1,0,0,0.00,0.00,0.00,1825,263.4568,1680.8027,27728.8678,0.0,88.6748,0.0,330.5674,-65.3917,0.0,0.0,42.4678,,,
2018-08-31,2019-02-28,2019-02-28,2019-05-28,0.0,2017-01-01,CNT000844,Merchant 000844,True,True,True,3,3944,435,1,402437,0,0.00,0.00,0.00,788,1521.8944,6213.3932,73746.871,176.1938,618.0313,41.9455,779.7151,-254.7978,16.6023,187.2031,474.0424,-0.0516,15.0,0.47285
2018-03-31,2018-09-30,2018-09-30,2018-12-30,0.0,2017-03-01,CNT000456,Merchant 000456,True,False,True,0,4773,421,1,1245162,0,0.00,0.00,0.00,578,1835.1683,29564.754,1110082.2,0.0,374.4328,0.0,-87733.0289,-2046.6651,0.0,0.0,65.6416,,,
2018-01-31,2018-07-31,2018-07-31,2018-10-31,0.0,2018-01-01,CNT000591,Merchant 000591,True,True,True,0,1653,266,1,0,19,0.00,0.00,861737.24,211,46.6579,1656.9998,58391.3692,64.3271,304.1384,0.0,-15134.9156,-94.8674,14.1402,69.9805,343.173,,,
